视频名称,up主,播放数量,评论数,点赞数,转发数,投币数
《绝区零》艾莲角色PV | 拜托了，艾莲大人！,绝区零,5523502,12179,101867,55794,234205
上海有些出租车挑客拒载？吃相实属难看！作为自己的家乡真希望此类有损城市名片的事情越来越少！也希望能有越来越多优秀本分的司机出现，让良币驱逐劣币。,superB太,5576676,15966,42826,14542,197413
火柴人 VS 几何（Geometry）,火柴人AlanBecker,3476788,23394,174562,40170,214713
暴打柠檬能打到红温？,姜峰真的苟,6029074,1411,137791,9303,8536
藏锋律己，遇见更好的自己,花小龙oy,2515023,1125,15299,5033,16717
挑战一次花光¥100000块，能否买空便利店，所有的零食？,Meetfood觅食,9446468,18501,132405,8766,558167
压力上来了！,脱缰凯Kk,3430864,5337,40243,2623,9427
那条鱼 明明很大啊,向挽意_,3502832,2677,53620,4959,10039
为了这期视频，差点被烧死,江寻千,1204540,3565,46420,8930,154622
【原神动画短片】芙宁娜「你可曾知，我爱你」,哈米伦的弄笛者,1007706,769,91320,34397,53603
【绝区零入坑指南】第一期：零基础超全面内容介绍：发展思路+卡池副本+战斗机制，全面了解绝区零,卡特亚,1402141,8266,48077,8832,38526
葫芦娃 你怎么了！,鲤鱼Ace,6327235,16176,129034,1624,19784
⚡️⚡️鬼   咩   之  刃⚡️⚡️,瑄羽猫,922574,1323,39095,10076,12865
植物大战僵尸融合版1.0预览版宣传片,蓝飘飘fly,1949329,1503,34092,20205,35500
挑战在游戏里为40万人建小区？欢迎入住！！,六月Aurora,1297005,5143,56824,1856,76876
猫！！！！,大福咕咕,4555216,5131,110096,4487,95676
【家有神兽】三战第五集：从海底出击！我军核潜艇亮剑印度洋！,家有神兽,1001196,8082,23296,2993,67408
挑战跑刀打造纯金仓库的最后1天！普农跑刀始，普农跑刀终！纯金仓库打造完成！,暗区陌堇,1323301,4767,39186,1380,22056
"大庆赶海,退潮后遇见一只切成方块的大海蜇，还有一片沙马蟹",大庆赶海,5911203,3395,12089,2639,3762
一段动漫打戏，竟然全是中国功夫的杀人技！纯享版,李小龙谜之传人,1887301,3642,60560,9129,16224
《催婚现状》,阿宅寒星星,2970156,3278,37469,13991,14599
小时候我把健达奇趣蛋装进鸡蛋盒里然后去结账,实习证明小喆学长,3438577,182,15822,5654,1181
还记得两年前那个卖车给女儿治病的爸爸吗？今天他带着女儿来找我啦~,小刚学长噢,819773,1610,11403,751,112532
当我们误入「MC肉鸽世界」需要不断强化自己才能通关？？！,大炒面制造者Cen,1130231,4150,19626,1585,35693
一块很特别的西瓜,刘庸干净又卫生,1631207,7396,5242,9887,16853
什么样的英雄，被人五年来当成怪人！,呆小砖,2112532,2788,27856,551,13517
性格拧巴的人可以多看美剧,成长小豆芽,1422210,35,103305,4303,9401
僵尸坚果巨人来了！,潜艇伟伟迷,2448582,4075,6084,4190,8994
雾中人生存P1 开局地狱难度 瞬间团灭的逆天怪物,林凡Gg,2008409,7252,91751,576,20011
当代年轻人的生活辅助神器！,谭井同学,2939942,262,96540,707,4292
今天再给你们整个火壶表演！,查大本事,3236497,1122,46862,531,15035
王妈《大结局篇》！大家想看番外吗？,七颗猩猩QKXX,2294073,13024,33749,13106,58210
高考查分时的尴尬瞬间,矮油王老六,2308320,1033,13788,1864,5627
蝙蝠会吃泡面吗？#蝙蝠侠#万物皆有灵性,泡面先生b站号,1285089,1630,25350,1457,924
【自制动画】这样太难看了！带土,哈顿的生活杂铺,944284,696,34540,9620,14838
深度|| 南北归一！三百年史诗的最动情吟唱！,渤海小吏,815215,8471,20780,3903,76247
【牛枝组合】银枝宝贝只需要抬音响就行了，而我波提欧要考虑的就多了,初冬の暮雨,804316,888,33476,2246,6483
谁教你这样转场的？,黑糖糖糖-,1702915,725,30346,24390,3338
我妈以为我回农村住的差 其实……,showers阵雨,997041,875,33035,6483,6758
当你得知上帝是如何分配寿命的,启明真难99,2552905,588,26626,8269,5134
『诡异警示牌』附近有巨型蚊子袭击人类？,L探员,5985216,601,81649,184,2808
曼尼汉堡店2 试玩版,薄海纸鱼,1354015,6058,49946,1487,6612
恋与提瓦特空芙篇：我搬家你干嘛也跟着搬家？,超帅气的强哥,2068601,608,56264,3622,7602
【家庭版肉夹馍手把手级教程】满屋飘香的卤肉和白吉馍做法，定让你惊艳全家！,村驴,648403,752,39736,3844,5973
最坎坷的经济崛起，最折磨的现代化之路。朴正熙与韩国（下）【历史调研室52】,历史调研室,930720,2746,17918,3622,41655
探秘法国总统一日三餐！都吃些什么？竟然这么豪华！,HOLA小测佬,2176330,5607,28439,5842,40180
【漫士科普】火柴人vs几何都讲了什么？带你看懂！,漫士沉思录,728891,4744,33146,3327,29374
【猛男版】怎么用力也走不到你心里…吗？,猛男舞团IconX,1251150,1609,14803,16025,35096
这到底是做饭还是做法？,南翔不爱吃饭,1530010,1437,13199,894,10697
【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】一集封神！七柱集结对战无惨！主公以身入局！自爆削弱无惨！全员进入无限城！最终决战开启！【鬼灭之刃柱训练篇最终回】,千城万叶,1590251,2351,21018,14782,15961
智者不入爱河，军师不上战场，谋士以身入局！,我是刘大悦le,1381021,479,11343,4694,2555
这应该是全球最强的资源网站了..... 一个视频玩转Github！！！,小宇Boi,481068,151,79612,2787,14567
丁真新曲《理塘宽带》锐克通信15G时代来临,风筝TheKite,1185931,1184,50842,31727,56877
【奥运冠军的脊医博士】十字架胸椎拉伸酷刑 NONONO,脊医博士鹏哥,5965163,486,206135,7616,15858
贵州烧烤，仨战士狂炫几百串，吃服了老板,吃不饱仨战士,1187415,1324,5546,5810,2955
HR包装工作，你就包装自己,是橙子橙子-,1185178,53,33903,903,1106
99%的人熟悉又陌生的童话故事，一定不要让小孩子看，它是属于成人的！,长片短解,4813499,1002,84907,2447,9298
虚拟群星共同唱响《北京欢迎你》！时代符号再现！这盛世，如你所愿！【官方典藏版】,AIChannel中国绊爱,517751,4673,23328,13215,36157
随机挑战！135元得啃多少骨头…,一只黑Q,6098960,1272,68545,136,5761
一种又萌又凶的猫…,奇趣小世界-原,867391,465,16151,3322,1400
"售价10,000元的MC周边，值得吗？【游戏之外】",史蒂猪StevenPig,3009165,3522,68953,2004,80447
泡咸菜时朋友送来30斤大鱼！？看我怎么收拾它！,永琪吗,562997,3044,2548,1016,13952
据说你刚看我视频的时候还是个学生，现在孩子都快上学了,午餐肉艺术家葛世贤,823741,845,6918,304,2566
在日本被樱花妹的媚男程度震撼到了,言趣教育妍一老师,2589005,9034,13979,3447,1972
（这也能解说？！）燃尽！这是我最后的波纹了！热血陀螺争霸赛【6】,Super也好君,1742149,14366,40633,6627,66229
《马达加斯加》第4集：荒岛赶海收获罕见犁头鳐和皇帝星斑，就连巨型蜘蛛螺也遍地都是！,OK哥环球探海记,1951425,2841,21378,904,15041
《鸣潮》过场动画 | 天光,鸣潮,1361587,1857,8298,2351,16244
一口气看完，怪兽8号！动画第1季+漫画1-109话！怪兽来袭！,芙芙家的洗碗君,1052779,1447,57768,390,5727
小时候不理解的“遗憾”,王大嘴重生,923711,462,27073,5278,4795
穿刺天使、逼疯上帝！罪恶的人类该如何得到救赎？26年前的超宝藏游戏！！,33不是山山,463848,2577,27673,2059,63813
秋田犬 别信，自己喜欢就行，纯娱乐视频，小狗不教，大狗不乖,岛主说说狗_本人,879349,1470,8850,6955,18581
【STN快报第七季62】美剧里的乔尔变成了不死之身,STN工作室,887446,10486,10760,2106,35294
火柴人VS几何完整解析,爱科普的可莉,1403080,231,52186,325,1951
谁才是真正的教育家，学生能不清楚吗？,桃桃话不多,769348,1029,10295,4883,2805
身体：你见过我的全盛时期吗？,进击的金厂长,639826,1575,16749,2181,27066
个人制作 水门传·预告,只剪亿点点,687341,298,30051,2678,9761
【oc动画】毕设进度透露,食_人_饼_干,483934,116,36631,1771,5416
【铁牛之恋】第二集：这个娄子捅的有点大,陈翔六点半,1118131,2244,6002,852,24433
东莞卤蹄侠炒泡面，18一份。堪称街头天花板,西瓜吹雪解说,1094834,1377,7111,2710,2024
《小杨有约01#》：小马院长,小杨Johnson,1742258,18723,43203,3271,98402
小熊猫吃苹果咯,萌物饲养员,619457,523,12070,5431,1687
什么情况？海鲜大餐威力这么大的嘛？,西安卖电脑的老王,1028813,719,11683,700,2823
BABYMONSTER - ‘FOREVER’ M/V,BABYMONSTER_YG,595731,12897,19488,11066,17480
来 聆 听 留 子 破 防 的 声 音,山口煮煮,1960849,304,6446,1414,941
起猛了..深圳校服爆改Lo裙？😲😲😲,月亮猹-,1487563,761,17608,1647,7186
兄弟们我现在老自豪了~,_张天琪,1391421,2622,10496,1116,22588
用AI续写新闻联播片头曲，没想到燃成这样,逆转逆转再逆转,847533,1808,30512,5177,8413
阿文做菜不用火，因为他够烧了！,阿文今天吃什么丶,1405246,522,15853,4584,8355
同学聚会时的尴尬（超级无敌宇宙真实啊啊啊啊啊）,萧枭同学,1974348,480,11587,131,1062
宝宝，你是一坨…………,yogin幺了个菁,1608945,209,51329,12587,13009
【轰】医生！急诊室来了个这玩意儿啊啊！！,米尼麦泥轰,1698913,815,27594,447,3275
当你摸到猫咪的肚子时：,NyxWannaAim,969438,256,23418,14459,1187
爆改流萤CV宋媛媛！一开口简直流萤本人上号【二次元爆改02】,流萤Zz,831755,2350,14264,3751,11849
睡前故事~,锌之助吖,411123,841,39286,3488,20360
【和平地铁】四把BOSS专属武器实战测评，屠龙刀反而最没用？,泽木QWQ,1286609,239,44111,238,1747
天呐！！谁还没吃过！巨简单巨好吃的炒方便面～夜市摊都比不上！快安排吧,丽丽教做菜-,1874267,831,126725,11636,10125
《柯南》柯南被美女诱惑，没顶住直接跟美女回了家！,他说电影,2100518,364,18380,225,821
和小潮team一起自驾游新疆！【2】,伢伢gagako,928843,867,26818,225,5625
大型纪录片：新疆火焰山祛湿气,圈圈记录片,2443005,429,14573,8046,436
假的！是摆拍,杀鱼小葵,1441355,609,11897,5943,2289
